ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,Class
73.0,89.0,8,68,17,1,0,89,28.0,6,5,9,2,28,8.0,0,0,0.0,95.0,1.0,3.0,0.0,83.0,1
50.0,243.0,5,106,21,1,0,86,1.0,3,5,22,2,14,1.0,2,2,79.0,,9.0,1.0,6.0,92.0,1
76.0,14.0,2,10,2,0,0,100,,7,8,3,1,67,0.0,0,0,31.0,88.0,1.0,2.0,0.0,100.0,0
56.0,76.0,6,32,11,2,2,92,15.0,5,2,14,5,17,0.0,3,3,83.0,42.0,5.0,2.0,2.0,100.0,1
82.0,78.0,3,36,26,0,0,100,,7,8,26,3,8,,0,0,1.0,,1.0,1.0,0.0,11.0,1
83.0,344.0,42,151,10,0,0,90,38.0,6,6,10,0,40,19.0,0,0,5.0,,1.0,,,33.0,0
72.0,74.0,2,37,35,0,0,100,,5,8,37,5,11,0.0,0,0,31.0,,7.0,1.0,2.0,38.0,0
60.0,62.0,7,35,17,0,0,88,12.0,6,6,2,2,18,0.0,1,1,63.0,46.0,3.0,2.0,3.0,45.0,0
66.0,134.0,3,51,21,0,0,100,,7,8,21,5,29,0.0,3,3,59.0,44.0,5.0,2.0,3.0,58.0,0
74.0,97.0,1,39,11,1,0,92,26.0,6,5,14,6,31,,0,0,36.0,,4.0,1.0,0.0,63.0,0
63.0,153.0,3,48,17,0,0,88,4.0,4,6,17,1,47,0.0,3,3,44.0,94.0,3.0,3.0,0.0,50.0,0
57.0,321.0,4,105,37,0,0,84,0.0,4,6,38,2,50,0.0,0,0,76.0,79.0,13.0,4.0,4.0,90.0,0
60.0,101.0,8,34,20,1,0,81,8.0,4,5,21,2,67,0.0,0,0,30.0,89.0,1.0,8.0,1.0,82.0,0
68.0,179.0,11,101,24,0,0,92,47.0,6,6,24,1,29,0.0,2,2,62.0,82.0,8.0,2.0,2.0,73.0,1
66.0,,7,63,23,0,0,96,31.0,6,6,25,3,24,,0,0,73.0,47.0,8.0,3.0,4.0,85.0,0
56.0,370.0,5,124,28,0,0,84,4.0,4,6,31,3,16,4.0,1,1,39.0,88.0,11.0,2.0,3.0,54.0,1
79.0,120.0,2,46,22,0,0,100,,7,8,23,5,22,2.0,3,3,6.0,90.0,1.0,2.0,0.0,50.0,1
67.0,196.0,8,56,21,0,0,81,4.0,4,6,21,2,24,,0,0,13.0,,6.0,2.0,0.0,53.0,0
68.0,104.0,5,44,22,2,2,92,11.0,4,2,24,5,21,0.0,1,1,36.0,,5.0,1.0,1.0,54.0,0
88.0,227.0,4,90,11,0,0,100,,7,8,11,1,18,,1,1,3.0,,3.0,1.0,1.0,50.0,0
69.0,447.0,1,167,21,3,0,80,29.0,6,5,25,1,32,8.0,0,0,72.0,,5.0,1.0,5.0,46.0,0
63.0,185.0,1,55,28,4,4,97,56.0,6,4,31,8,29,,4,4,54.0,58.0,6.0,2.0,0.0,71.0,1
77.0,426.0,9,124,19,0,0,95,18.0,6,6,14,1,50,,0,0,46.0,,3.0,1.0,1.0,57.0,1
70.0,228.0,2,49,11,0,0,100,,7,8,12,2,0,8.0,0,0,57.0,,9.0,,6.0,90.0,0
72.0,166.0,12,74,37,1,1,95,7.0,4,4,41,0,15,0.0,1,1,16.0,,3.0,1.0,1.0,26.0,0
63.0,76.0,5,40,20,1,1,86,,5,6,22,2,27,0.0,2,1,94.0,45.0,14.0,3.0,1.0,100.0,0
63.0,62.0,6,31,8,0,0,100,,7,8,8,2,25,0.0,3,3,91.0,139.0,5.0,1.0,1.0,86.0,0
57.0,104.0,3,29,18,0,0,78,8.0,4,6,19,4,39,,4,4,53.0,80.0,6.0,3.0,0.0,75.0,0
84.0,140.0,14,76,17,0,0,94,37.0,6,6,18,0,22,0.0,0,0,1.0,61.0,1.0,1.0,0.0,22.0,1
61.0,188.0,10,90,21,2,0,76,3.0,4,5,25,1,28,,5,5,60.0,,4.0,1.0,0.0,86.0,0
57.0,57.0,4,36,15,0,0,80,10.0,4,6,10,5,40,,1,1,71.0,63.0,7.0,3.0,1.0,91.0,0
69.0,122.0,6,52,13,3,3,92,74.0,6,6,16,2,92,0.0,1,1,52.0,97.0,1.0,4.0,0.0,100.0,0
66.0,198.0,10,70,37,1,0,78,5.0,4,5,40,4,50,0.0,2,2,1.0,78.0,4.0,3.0,0.0,39.0,0
57.0,122.0,10,106,12,0,0,50,8.0,4,6,11,2,42,0.0,4,4,70.0,88.0,5.0,1.0,2.0,100.0,0
80.0,175.0,6,59,19,0,0,100,,7,8,19,1,16,0.0,3,3,12.0,,6.0,1.0,0.0,58.0,0
71.0,114.0,11,80,12,0,0,92,,6,6,12,1,33,0.0,0,0,42.0,84.0,3.0,2.0,1.0,71.0,1
57.0,184.0,25,80,11,4,0,63,2.0,3,5,16,0,25,0.0,1,1,39.0,,2.0,1.0,0.0,60.0,0
60.0,182.0,9,87,19,1,1,84,8.0,4,6,20,1,21,0.0,0,0,93.0,60.0,8.0,2.0,4.0,100.0,1
87.0,,14,102,13,0,0,100,,7,8,13,0,54,,0,0,25.0,,1.0,1.0,0.0,50.0,0
90.0,249.0,22,104,12,0,0,100,,7,8,12,0,42,0.0,0,0,0.0,,0.0,1.0,0.0,20.0,1
77.0,205.0,4,94,44,0,0,100,,7,8,44,7,20,3.0,1,1,14.0,87.0,10.0,3.0,0.0,57.0,1
76.0,208.0,3,61,19,0,0,95,22.0,6,6,21,3,38,0.0,2,2,21.0,68.0,5.0,4.0,1.0,67.0,0
80.0,94.0,23,51,9,0,0,100,,7,8,9,0,56,0.0,0,0,26.0,77.0,1.0,2.0,0.0,60.0,1
73.0,163.0,14,62,14,1,1,100,,6,8,15,0,60,,2,2,17.0,66.0,1.0,3.0,,80.0,1
72.0,118.0,4,55,14,0,0,100,,7,8,14,2,36,,1,1,76.0,,6.0,,3.0,75.0,0
66.0,8.0,1,4,1,0,0,100,,7,8,3,3,33,2.0,4,4,45.0,,1.0,1.0,0.0,67.0,0
67.0,217.0,9,89,15,2,2,82,8.0,4,2,23,1,18,0.0,3,3,3.0,25.0,1.0,1.0,0.0,29.0,1
80.0,164.0,25,104,20,0,0,100,,7,8,21,0,5,6.0,0,0,55.0,,4.0,1.0,0.0,50.0,0
57.0,162.0,6,66,25,1,0,80,7.0,4,5,31,1,40,0.0,1,1,47.0,68.0,6.0,3.0,1.0,82.0,0
61.0,380.0,1,108,47,0,0,98,,6,6,55,7,16,0.0,7,7,39.0,,11.0,4.0,5.0,53.0,1
73.0,191.0,17,53,19,0,0,100,,7,8,20,0,25,,0,0,31.0,78.0,4.0,3.0,1.0,54.0,0
60.0,207.0,12,94,20,1,1,81,3.0,4,4,21,0,10,0.0,1,1,89.0,,9.0,1.0,4.0,100.0,0
72.0,132.0,4,78,15,1,1,88,46.0,6,3,16,1,44,0.0,2,2,80.0,,2.0,1.0,1.0,60.0,1
88.0,414.0,10,78,8,0,0,100,,7,8,8,1,25,0.0,0,0,8.0,43.0,1.0,1.0,0.0,40.0,1
66.0,129.0,4,53,18,0,0,100,,6,7,18,1,61,1.0,5,5,93.0,40.0,3.0,4.0,1.0,100.0,1
68.0,18.0,18,18,2,0,0,100,,7,8,2,0,100,0.0,0,0,,,,1.0,,100.0,0
70.0,233.0,6,69,31,0,0,97,6.0,4,6,33,1,33,0.0,0,0,35.0,68.0,6.0,3.0,1.0,59.0,0
68.0,220.0,3,87,13,2,1,75,36.0,6,2,16,1,75,,4,4,0.0,62.0,0.0,2.0,,40.0,0
86.0,143.0,6,60,15,0,0,100,,7,8,16,1,7,4.0,1,1,0.0,,0.0,,0.0,0.0,0
48.0,151.0,9,101,50,1,1,83,3.0,0,2,8,3,48,1.0,2,2,74.0,75.0,17.0,7.0,6.0,89.0,0
65.0,161.0,2,58,14,1,0,88,30.0,6,2,17,5,41,0.0,3,3,57.0,26.0,4.0,3.0,1.0,70.0,0
79.0,245.0,6,100,35,0,0,100,,7,8,37,1,43,4.0,1,1,18.0,61.0,6.0,4.0,0.0,71.0,1
68.0,82.0,6,25,5,0,0,100,,7,8,5,3,0,1.0,1,1,88.0,,3.0,,1.0,100.0,0
72.0,293.0,9,128,6,1,1,100,,6,8,6,1,50,3.0,1,1,0.0,,0.0,2.0,,50.0,0
79.0,224.0,4,84,61,0,0,97,28.0,6,6,61,4,21,2.0,4,4,1.0,98.0,5.0,2.0,1.0,32.0,1
67.0,58.0,4,29,21,0,0,95,39.0,6,6,22,6,50,0.0,3,3,15.0,94.0,3.0,5.0,0.0,73.0,0
81.0,244.0,3,128,54,0,0,98,,6,6,56,3,41,0.0,4,4,25.0,97.0,6.0,3.0,0.0,90.0,1
89.0,148.0,15,79,11,0,0,100,,7,8,12,0,33,0.0,0,0,2.0,,3.0,1.0,0.0,80.0,1
80.0,192.0,5,66,52,0,0,100,,7,8,52,4,8,4.0,1,1,3.0,,4.0,1.0,1.0,16.0,1
71.0,,70,93,5,1,1,100,,6,8,5,0,40,14.0,0,0,47.0,,1.0,,0.0,50.0,0
60.0,342.0,2,77,29,4,0,72,25.0,5,5,36,4,58,0.0,1,1,47.0,88.0,3.0,4.0,1.0,88.0,0
56.0,182.0,7,105,16,4,4,65,4.0,0,2,20,3,25,0.0,1,1,43.0,,3.0,,1.0,38.0,1
77.0,189.0,15,81,19,0,0,95,,6,6,19,0,11,2.0,1,1,36.0,,3.0,1.0,1.0,40.0,0
69.0,284.0,8,109,22,1,1,100,,6,8,22,1,26,2.0,3,2,40.0,21.0,3.0,2.0,2.0,55.0,1
64.0,298.0,2,60,28,0,0,90,3.0,4,6,29,2,45,0.0,0,0,31.0,85.0,6.0,3.0,1.0,69.0,1
72.0,73.0,11,36,7,0,0,100,,7,8,7,1,57,,1,1,45.0,63.0,1.0,3.0,1.0,80.0,0
76.0,159.0,3,84,21,0,0,95,,5,7,21,1,71,3.0,1,1,42.0,69.0,3.0,3.0,1.0,75.0,1
72.0,117.0,37,119,9,1,0,90,22.0,6,5,18,0,20,,0,0,24.0,,5.0,1.0,0.0,100.0,1
73.0,102.0,13,58,2,0,0,100,,7,8,2,0,100,0.0,0,0,,69.0,,2.0,,100.0,0
56.0,81.0,2,33,22,0,0,79,0.0,4,6,24,7,46,0.0,0,0,76.0,,3.0,3.0,1.0,100.0,0
59.0,92.0,10,43,11,1,1,82,26.0,0,6,11,3,36,0.0,7,7,18.0,94.0,3.0,2.0,,83.0,0
67.0,199.0,2,66,26,1,1,80,11.0,4,4,40,4,13,1.0,4,4,20.0,,3.0,,0.0,30.0,0
84.0,230.0,8,66,13,0,0,100,,7,8,13,2,15,8.0,0,0,14.0,,1.0,1.0,0.0,33.0,0
68.0,222.0,6,103,16,1,0,84,20.0,5,5,19,2,32,0.0,0,0,59.0,,5.0,,3.0,63.0,0
85.0,231.0,9,107,13,0,0,100,,7,8,13,1,54,0.0,0,0,30.0,91.0,3.0,1.0,0.0,67.0,1
76.0,356.0,2,56,34,0,0,100,,7,8,29,6,22,0.0,6,6,2.0,66.0,4.0,3.0,0.0,39.0,0
78.0,181.0,16,48,16,0,0,94,52.0,6,6,8,0,13,0.0,1,1,13.0,,3.0,1.0,0.0,40.0,0
68.0,150.0,3,67,20,0,0,90,6.0,4,6,20,4,60,0.0,3,3,69.0,71.0,3.0,3.0,1.0,75.0,0
72.0,206.0,6,65,43,0,0,100,,7,8,44,1,34,0.0,1,1,66.0,60.0,7.0,3.0,4.0,91.0,1
63.0,95.0,3,37,19,2,2,100,,6,8,19,4,37,,2,2,43.0,67.0,5.0,4.0,1.0,69.0,0
65.0,202.0,10,84,28,11,11,87,41.0,6,6,30,2,33,0.0,0,0,28.0,26.0,3.0,2.0,0.0,38.0,1
83.0,113.0,25,62,15,0,0,100,,7,8,15,0,40,0.0,0,0,35.0,52.0,3.0,3.0,0.0,60.0,0
81.0,79.0,9,45,12,0,0,100,,7,8,16,2,44,0.0,0,0,7.0,82.0,3.0,2.0,0.0,56.0,0
63.0,85.0,2,27,4,1,1,83,4.0,4,4,7,4,83,0.0,0,0,3.0,100.0,1.0,2.0,,100.0,0
68.0,164.0,29,75,9,2,2,89,,5,7,11,0,22,0.0,1,1,49.0,,2.0,,1.0,50.0,1
81.0,76.0,11,53,8,0,0,100,,7,8,8,1,25,0.0,1,1,21.0,64.0,1.0,2.0,0.0,100.0,1
64.0,179.0,13,70,17,0,0,78,1.0,4,6,18,0,50,4.0,1,1,57.0,22.0,4.0,2.0,0.0,75.0,0
84.0,172.0,5,74,21,0,0,100,,7,8,21,1,29,3.0,1,1,1.0,32.0,1.0,2.0,0.0,36.0,1
81.0,165.0,14,95,34,0,0,100,,7,8,34,0,32,2.0,1,1,5.0,62.0,6.0,3.0,0.0,60.0,1
86.0,249.0,13,108,21,0,0,100,,7,8,21,0,29,13.0,0,0,4.0,28.0,5.0,1.0,0.0,55.0,1
85.0,166.0,11,81,22,0,0,100,,7,8,22,1,36,,0,0,0.0,55.0,0.0,2.0,0.0,29.0,1
71.0,124.0,7,53,12,1,1,92,37.0,6,2,14,1,64,0.0,1,1,43.0,34.0,2.0,3.0,1.0,75.0,0
54.0,248.0,1,58,25,0,0,96,12.0,6,6,28,5,29,0.0,4,4,81.0,,9.0,2.0,6.0,92.0,0
75.0,291.0,20,118,15,1,0,94,68.0,6,5,17,0,41,0.0,2,2,48.0,,3.0,1.0,0.0,83.0,0
66.0,,7,78,32,4,4,86,7.0,6,2,0,3,19,0.0,1,1,33.0,19.0,7.0,3.0,1.0,65.0,0
75.0,337.0,5,115,27,0,0,89,7.0,4,6,27,1,37,11.0,0,0,3.0,3.0,2.0,2.0,0.0,42.0,0
70.0,118.0,2,46,27,0,0,93,24.0,5,6,29,4,69,2.0,5,5,13.0,84.0,3.0,4.0,1.0,70.0,0
60.0,51.0,9,26,13,0,0,100,,7,8,13,1,15,0.0,3,3,66.0,4.0,7.0,2.0,1.0,91.0,1
83.0,479.0,11,114,30,0,0,100,,7,8,30,1,13,0.0,1,0,2.0,,2.0,1.0,1.0,21.0,1
79.0,45.0,10,61,22,0,0,95,13.0,6,6,1,2,41,2.0,1,1,0.0,37.0,2.0,3.0,0.0,50.0,1
83.0,128.0,5,78,44,0,0,100,,7,8,44,1,14,2.0,1,1,8.0,85.0,7.0,2.0,0.0,36.0,1
61.0,67.0,5,29,14,0,0,93,6.0,4,6,14,1,29,,1,1,73.0,86.0,1.0,2.0,1.0,75.0,1
63.0,32.0,12,20,12,0,0,100,,7,8,12,0,50,13.0,0,0,71.0,60.0,5.0,4.0,2.0,100.0,0
76.0,230.0,15,77,25,0,0,92,1.0,4,6,25,0,20,,0,0,6.0,83.0,2.0,2.0,0.0,57.0,1
69.0,187.0,2,88,11,0,0,100,,7,8,15,2,53,0.0,2,2,86.0,,4.0,1.0,3.0,100.0,0
77.0,264.0,2,89,34,0,0,94,38.0,6,6,52,2,14,20.0,0,0,27.0,,6.0,2.0,1.0,53.0,1
71.0,174.0,8,79,22,1,1,87,25.0,6,3,23,2,35,2.0,3,1,31.0,,4.0,3.0,2.0,64.0,0
79.0,366.0,3,73,11,0,0,92,0.0,4,6,23,2,75,,0,0,13.0,98.0,2.0,2.0,0.0,80.0,1
87.0,435.0,4,93,23,0,0,100,,7,8,24,2,29,0.0,0,0,3.0,92.0,3.0,2.0,0.0,50.0,1
69.0,111.0,8,58,18,0,0,100,,7,8,22,3,36,8.0,0,0,86.0,,5.0,1.0,3.0,100.0,0
76.0,97.0,9,44,14,0,0,100,,7,8,14,2,21,0.0,1,1,32.0,43.0,3.0,2.0,0.0,63.0,1
91.0,252.0,24,114,11,0,0,100,,7,8,25,0,27,,0,0,4.0,39.0,3.0,2.0,0.0,56.0,1
86.0,201.0,14,87,17,0,0,94,21.0,6,6,18,0,33,0.0,1,1,1.0,,2.0,1.0,0.0,33.0,1
61.0,49.0,19,29,4,1,1,75,7.0,4,6,4,0,75,0.0,1,0,56.0,64.0,1.0,2.0,0.0,100.0,0
58.0,118.0,3,40,10,1,1,91,48.0,6,4,11,2,36,,0,0,50.0,86.0,5.0,3.0,1.0,100.0,0
65.0,196.0,2,52,60,0,0,98,55.0,6,6,74,7,35,0.0,5,5,63.0,61.0,8.0,4.0,2.0,71.0,0
75.0,40.0,4,22,4,0,0,100,,7,8,5,1,0,0.0,1,1,53.0,,1.0,,0.0,50.0,0
61.0,129.0,7,54,24,0,0,100,,7,8,24,3,17,,2,2,31.0,86.0,10.0,2.0,4.0,92.0,0
55.0,150.0,17,70,22,3,3,84,0.0,4,4,26,0,76,1.0,1,1,,43.0,,4.0,,100.0,0
77.0,51.0,4,29,19,0,0,100,,7,8,22,1,32,1.0,2,2,0.0,95.0,2.0,3.0,0.0,64.0,0
65.0,167.0,1,37,11,1,1,93,17.0,6,3,14,7,21,0.0,3,3,23.0,91.0,8.0,2.0,0.0,85.0,0
83.0,177.0,6,77,40,1,0,98,49.0,6,5,41,3,54,0.0,1,1,19.0,70.0,3.0,5.0,0.0,62.0,1
73.0,324.0,15,89,19,0,0,89,9.0,4,6,19,0,21,0.0,0,0,34.0,36.0,6.0,3.0,1.0,64.0,1
67.0,182.0,2,18,4,1,1,100,,6,8,7,3,40,10.0,1,0,41.0,,2.0,1.0,1.0,75.0,0
67.0,106.0,3,44,15,1,1,88,7.0,4,2,17,1,38,0.0,5,5,0.0,85.0,1.0,4.0,0.0,56.0,1
70.0,241.0,2,104,23,1,0,70,26.0,6,5,27,1,52,0.0,1,1,43.0,53.0,5.0,2.0,0.0,89.0,0
80.0,211.0,3,55,19,0,0,95,81.0,6,6,19,3,16,0.0,3,3,5.0,82.0,1.0,2.0,0.0,27.0,1
66.0,147.0,8,79,19,1,1,84,23.0,6,6,20,1,63,0.0,2,2,35.0,17.0,1.0,3.0,1.0,57.0,0
86.0,212.0,7,90,26,0,0,100,,7,8,29,1,21,,0,0,10.0,,1.0,2.0,0.0,57.0,1
77.0,176.0,23,87,13,0,0,100,,7,8,13,0,31,0.0,1,1,51.0,,3.0,1.0,2.0,57.0,1
78.0,246.0,17,109,15,0,0,100,,7,8,15,0,40,0.0,0,0,71.0,,2.0,1.0,2.0,43.0,0
72.0,155.0,7,71,46,1,1,100,,7,8,48,1,38,,5,5,7.0,82.0,5.0,5.0,0.0,53.0,1
62.0,295.0,21,124,10,2,2,64,16.0,6,2,14,0,36,20.0,0,0,38.0,30.0,3.0,3.0,0.0,86.0,0
74.0,279.0,3,90,31,1,1,97,12.0,6,4,33,3,18,0.0,2,2,5.0,95.0,4.0,3.0,0.0,47.0,0
80.0,194.0,21,97,18,0,0,100,,7,8,18,0,22,21.0,0,0,34.0,,7.0,1.0,1.0,73.0,1
59.0,145.0,2,52,12,2,2,79,15.0,6,2,14,3,36,0.0,5,5,42.0,88.0,5.0,3.0,1.0,82.0,0
73.0,264.0,3,71,29,0,0,93,25.0,6,6,29,5,21,0.0,0,0,14.0,72.0,9.0,3.0,0.0,62.0,1
67.0,255.0,1,104,41,6,6,88,12.0,6,6,48,1,21,0.0,1,1,30.0,59.0,3.0,4.0,1.0,39.0,1
64.0,159.0,1,54,20,1,0,89,20.0,5,5,27,2,52,0.0,2,2,42.0,94.0,4.0,2.0,2.0,86.0,1
69.0,117.0,7,34,8,0,0,89,44.0,6,6,9,1,78,0.0,3,2,0.0,94.0,0.0,3.0,,75.0,1
51.0,232.0,6,93,13,2,1,69,1.0,0,2,16,3,38,0.0,0,0,94.0,88.0,2.0,3.0,1.0,83.0,0
72.0,135.0,12,60,29,0,0,100,,7,8,29,0,7,11.0,0,0,47.0,,13.0,1.0,2.0,74.0,0
75.0,61.0,6,21,17,0,0,94,,5,7,17,7,29,0.0,1,1,13.0,,5.0,3.0,0.0,53.0,0
73.0,152.0,11,75,6,2,0,63,32.0,6,5,8,1,13,0.0,0,0,0.0,,0.0,1.0,,33.0,1
71.0,71.0,2,39,28,0,0,97,11.0,4,6,32,2,13,0.0,0,0,1.0,79.0,3.0,2.0,1.0,26.0,0
79.0,30.0,13,22,2,0,0,100,,7,8,2,0,0,12.0,0,0,27.0,,1.0,,0.0,50.0,1
66.0,174.0,6,72,29,3,2,87,16.0,6,4,32,2,19,0.0,1,0,37.0,87.0,9.0,2.0,4.0,65.0,0
