ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,Class
84.0,341.0,11,100,11,0,0,100,,7,8,11,1,36,0.0,2,2,23.0,83.0,3.0,2.0,0.0,83.0,0
88.0,,1,112,23,0,0,100,,7,8,0,2,33,3.0,1,1,1.0,87.0,1.0,2.0,0.0,30.0,1
88.0,205.0,8,138,37,0,0,100,,7,8,8,1,11,19.0,0,0,2.0,,4.0,1.0,0.0,24.0,1
79.0,397.0,2,56,32,0,0,100,,7,8,62,5,24,0.0,2,2,19.0,72.0,6.0,3.0,1.0,64.0,1
62.0,180.0,27,105,21,1,1,86,1.0,4,6,4,0,38,,0,0,28.0,24.0,6.0,5.0,0.0,92.0,1
67.0,116.0,5,40,14,0,0,86,6.0,4,6,14,1,57,0.0,0,0,69.0,97.0,1.0,2.0,1.0,43.0,0
74.0,319.0,2,75,30,0,0,100,,7,8,31,4,29,2.0,5,5,37.0,77.0,6.0,5.0,0.0,69.0,1
76.0,210.0,1,108,57,0,0,100,,7,8,61,3,56,0.0,4,4,51.0,51.0,7.0,9.0,4.0,84.0,0
66.0,194.0,4,78,3,2,2,75,55.0,6,3,4,1,0,0.0,0,0,76.0,,4.0,,0.0,100.0,0
88.0,309.0,22,86,9,0,0,100,,7,8,10,0,10,0.0,1,1,9.0,,2.0,,0.0,40.0,1
59.0,28.0,2,13,6,0,0,100,,7,8,7,4,43,0.0,0,0,98.0,77.0,3.0,3.0,3.0,100.0,1
76.0,207.0,21,88,16,0,0,94,30.0,6,6,17,0,59,,0,0,17.0,5.0,1.0,2.0,0.0,100.0,1
89.0,357.0,1,125,15,0,0,100,,7,8,18,2,39,,1,0,6.0,31.0,4.0,2.0,0.0,55.0,1
71.0,295.0,26,102,20,1,0,91,11.0,4,2,22,0,27,0.0,1,1,53.0,58.0,2.0,2.0,0.0,67.0,0
73.0,283.0,2,105,20,0,0,95,6.0,4,6,22,2,33,1.0,1,1,29.0,65.0,3.0,2.0,1.0,63.0,0
57.0,206.0,1,84,53,1,1,94,61.0,0,6,83,1,31,1.0,2,2,60.0,97.0,11.0,3.0,3.0,75.0,0
77.0,154.0,3,55,31,0,0,100,,7,8,32,6,63,2.0,2,1,26.0,74.0,5.0,14.0,0.0,86.0,0
93.0,399.0,27,174,5,0,0,100,,7,8,5,0,0,2.0,1,1,0.0,,0.0,,0.0,0.0,0
73.0,248.0,4,76,24,0,0,88,18.0,6,6,26,2,28,0.0,1,1,12.0,90.0,4.0,2.0,0.0,64.0,1
67.0,89.0,1,36,16,0,0,100,,7,8,19,5,26,0.0,4,4,63.0,29.0,6.0,2.0,3.0,73.0,0
78.0,343.0,6,83,43,0,0,98,67.0,6,6,43,1,23,5.0,0,0,14.0,80.0,7.0,3.0,0.0,50.0,1
88.0,170.0,3,87,14,0,0,100,,7,8,15,1,29,2.0,1,1,1.0,97.0,1.0,2.0,0.0,67.0,1
68.0,134.0,4,54,24,0,0,100,,7,8,24,5,50,,2,2,50.0,91.0,3.0,7.0,1.0,83.0,0
81.0,177.0,4,52,25,0,0,96,27.0,6,6,26,1,23,3.0,3,3,14.0,77.0,4.0,3.0,0.0,62.0,1
70.0,55.0,0,20,6,0,0,100,,7,8,11,6,18,0.0,6,6,28.0,36.0,3.0,2.0,0.0,45.0,0
84.0,172.0,8,83,20,0,0,100,,7,8,22,1,14,0.0,1,1,6.0,,3.0,1.0,0.0,67.0,1
80.0,237.0,0,77,25,0,0,100,,7,8,26,4,31,1.0,3,2,20.0,84.0,6.0,3.0,0.0,64.0,0
77.0,218.0,17,116,28,0,0,97,25.0,6,6,29,0,31,0.0,0,0,6.0,86.0,6.0,2.0,1.0,69.0,1
82.0,93.0,2,49,22,0,0,100,,7,8,23,1,30,1.0,2,2,0.0,99.0,0.0,3.0,,38.0,1
62.0,134.0,3,48,17,0,0,94,0.0,4,6,19,3,63,0.0,1,1,63.0,55.0,2.0,5.0,1.0,88.0,0
73.0,55.0,9,33,7,0,0,100,,7,8,7,1,86,0.0,1,0,,71.0,,2.0,,100.0,0
59.0,195.0,5,51,17,2,2,84,5.0,1,2,19,3,53,0.0,1,1,32.0,83.0,2.0,2.0,2.0,75.0,0
65.0,245.0,28,143,56,1,1,95,7.0,1,3,59,0,15,0.0,1,1,59.0,37.0,26.0,4.0,9.0,83.0,0
79.0,77.0,7,48,16,0,0,100,,7,8,6,1,44,,0,0,0.0,74.0,2.0,2.0,0.0,57.0,1
70.0,153.0,22,112,5,2,2,67,56.0,6,4,6,0,67,0.0,0,0,0.0,,0.0,1.0,0.0,50.0,0
60.0,204.0,2,58,27,0,0,86,0.0,4,6,31,4,35,0.0,1,1,57.0,96.0,5.0,4.0,2.0,64.0,1
57.0,209.0,2,92,34,1,1,92,3.0,4,6,37,2,19,1.0,1,1,22.0,,7.0,1.0,2.0,67.0,0
74.0,202.0,19,81,32,0,0,97,36.0,6,6,32,0,44,,0,0,42.0,,3.0,2.0,0.0,71.0,1
88.0,206.0,7,83,23,0,0,100,,7,8,25,2,44,23.0,0,0,18.0,89.0,1.0,2.0,0.0,60.0,1
61.0,179.0,8,48,10,1,1,100,,7,8,11,2,30,,0,0,88.0,71.0,5.0,2.0,3.0,100.0,0
75.0,229.0,15,92,25,0,0,100,,7,8,25,0,8,14.0,1,0,67.0,,4.0,1.0,2.0,71.0,1
85.0,214.0,5,79,28,0,0,97,39.0,6,6,33,1,33,14.0,0,0,7.0,,3.0,2.0,0.0,50.0,1
82.0,315.0,23,112,20,0,0,100,,7,8,20,0,25,0.0,0,0,35.0,11.0,2.0,2.0,1.0,40.0,0
80.0,161.0,5,48,10,0,0,90,24.0,6,6,10,3,50,3.0,1,1,8.0,74.0,2.0,2.0,0.0,67.0,0
88.0,214.0,4,114,31,0,0,100,,7,8,31,2,13,0.0,1,1,16.0,,2.0,1.0,0.0,19.0,1
65.0,292.0,4,62,42,1,0,96,1.0,3,5,45,4,31,0.0,3,3,11.0,89.0,3.0,4.0,0.0,35.0,1
68.0,174.0,7,85,22,2,1,84,25.0,6,4,25,2,60,0.0,0,0,76.0,,2.0,1.0,1.0,75.0,1
71.0,145.0,2,64,15,1,1,88,36.0,6,2,17,3,53,0.0,0,0,24.0,72.0,3.0,5.0,0.0,67.0,0
73.0,285.0,3,83,35,0,0,97,70.0,6,6,28,7,14,,2,1,18.0,93.0,8.0,3.0,1.0,46.0,1
83.0,97.0,2,40,10,0,0,100,,7,8,11,3,36,,1,0,5.0,95.0,3.0,2.0,0.0,63.0,0
58.0,255.0,17,124,30,0,0,84,1.0,4,6,38,0,50,1.0,8,8,60.0,11.0,4.0,3.0,4.0,73.0,0
64.0,314.0,4,94,64,0,0,100,,7,8,71,5,52,,7,7,82.0,62.0,25.0,19.0,15.0,88.0,0
74.0,157.0,9,43,19,0,0,100,,5,7,2,2,25,,0,0,36.0,62.0,5.0,3.0,0.0,67.0,1
81.0,191.0,2,117,40,0,0,100,,7,8,6,5,7,0.0,3,3,15.0,,6.0,,2.0,26.0,1
70.0,411.0,3,95,70,0,0,99,65.0,6,6,72,5,12,2.0,1,1,23.0,64.0,8.0,2.0,2.0,37.0,1
73.0,257.0,3,83,7,0,0,100,,7,8,7,3,29,0.0,2,1,71.0,96.0,2.0,2.0,,100.0,0
84.0,294.0,5,119,44,0,0,100,,7,8,47,3,68,0.0,2,2,4.0,67.0,5.0,8.0,2.0,76.0,1
57.0,224.0,4,83,25,2,0,62,3.0,4,5,34,5,47,5.0,1,1,63.0,62.0,4.0,3.0,1.0,88.0,0
71.0,210.0,7,93,26,0,0,100,,7,8,44,1,57,,0,0,83.0,84.0,6.0,6.0,1.0,86.0,0
86.0,307.0,24,131,14,0,0,100,,7,8,15,0,0,0.0,0,0,10.0,,2.0,,0.0,29.0,1
74.0,132.0,2,72,15,0,0,100,,7,8,16,1,19,0.0,2,2,58.0,62.0,5.0,2.0,1.0,80.0,1
76.0,42.0,21,32,4,0,0,100,,7,8,4,0,75,20.0,0,0,0.0,67.0,0.0,2.0,,67.0,1
66.0,123.0,5,51,38,0,0,97,9.0,4,6,26,1,26,0.0,4,3,38.0,61.0,5.0,3.0,1.0,53.0,0
77.0,215.0,10,85,35,0,0,97,29.0,6,6,35,1,20,,0,0,40.0,,3.0,1.0,3.0,29.0,0
73.0,,1,104,12,1,0,93,5.0,3,5,0,1,43,,1,1,0.0,100.0,1.0,2.0,0.0,50.0,0
76.0,145.0,16,90,5,1,1,86,60.0,6,4,7,0,29,0.0,0,0,0.0,22.0,1.0,1.0,,67.0,0
91.0,397.0,36,140,21,0,0,100,,7,8,21,0,19,0.0,0,0,3.0,,1.0,1.0,0.0,22.0,1
69.0,66.0,8,32,14,1,1,93,9.0,0,2,15,4,53,,0,0,9.0,86.0,2.0,3.0,1.0,78.0,0
78.0,169.0,2,53,21,0,0,95,24.0,6,6,22,1,45,,0,0,0.0,78.0,2.0,1.0,0.0,43.0,0
68.0,115.0,12,59,15,0,0,93,4.0,4,6,15,0,53,0.0,4,4,39.0,22.0,2.0,2.0,0.0,67.0,0
82.0,127.0,4,69,27,0,0,100,,7,8,28,3,18,0.0,3,3,25.0,99.0,6.0,3.0,1.0,50.0,1
76.0,94.0,2,49,25,0,0,100,,7,8,30,5,33,,4,4,20.0,81.0,2.0,4.0,0.0,40.0,0
68.0,350.0,14,88,10,4,3,92,79.0,0,5,13,0,42,0.0,3,3,29.0,,4.0,1.0,0.0,83.0,0
71.0,268.0,6,77,14,1,1,100,,0,8,15,2,50,0.0,0,0,3.0,,1.0,1.0,0.0,50.0,1
72.0,233.0,6,98,36,0,0,100,,7,8,38,2,34,0.0,1,1,63.0,,5.0,1.0,2.0,55.0,1
60.0,232.0,8,92,31,0,0,76,1.0,4,6,34,1,35,0.0,1,1,53.0,49.0,10.0,2.0,2.0,75.0,0
70.0,316.0,2,104,37,0,0,100,,7,8,38,4,5,2.0,3,2,43.0,99.0,8.0,2.0,2.0,56.0,1
82.0,139.0,10,87,21,0,0,100,,7,8,22,2,27,1.0,2,2,12.0,42.0,1.0,2.0,0.0,44.0,1
77.0,164.0,3,56,36,0,0,97,31.0,6,6,36,4,22,,2,2,3.0,81.0,3.0,3.0,0.0,40.0,1
54.0,131.0,10,72,9,1,1,67,1.0,4,3,12,2,25,0.0,3,3,91.0,,1.0,1.0,1.0,50.0,0
55.0,42.0,4,28,11,0,0,73,3.0,4,6,2,4,36,3.0,2,2,45.0,77.0,2.0,3.0,1.0,56.0,0
88.0,490.0,4,181,12,0,0,92,36.0,6,6,12,1,42,,0,0,2.0,96.0,2.0,1.0,0.0,75.0,1
86.0,173.0,7,89,18,0,0,100,,7,8,18,1,33,6.0,0,0,1.0,19.0,2.0,2.0,0.0,36.0,1
66.0,185.0,11,92,23,0,0,91,18.0,6,6,23,1,22,0.0,1,1,53.0,19.0,7.0,3.0,4.0,71.0,0
76.0,219.0,2,66,22,0,0,100,,7,8,24,2,25,0.0,0,0,24.0,92.0,3.0,3.0,1.0,35.0,1
58.0,353.0,10,151,42,1,1,95,1.0,2,4,44,1,30,0.0,1,1,19.0,56.0,9.0,4.0,1.0,56.0,0
85.0,157.0,18,62,12,0,0,100,,7,8,12,0,8,,0,0,13.0,57.0,8.0,1.0,0.0,90.0,0
84.0,143.0,3,72,22,0,0,100,,7,8,22,1,50,4.0,1,1,0.0,70.0,0.0,3.0,,50.0,1
70.0,161.0,10,73,13,0,0,85,15.0,6,6,13,1,54,0.0,3,3,32.0,93.0,2.0,3.0,1.0,71.0,0
57.0,199.0,3,99,9,2,2,89,52.0,6,6,9,1,44,3.0,1,1,,,0.0,,0.0,0.0,1
74.0,173.0,13,68,20,0,0,95,10.0,4,6,20,0,50,0.0,0,0,33.0,47.0,2.0,6.0,0.0,80.0,0
66.0,59.0,10,34,4,0,0,100,,7,8,4,2,75,0.0,5,5,89.0,74.0,1.0,2.0,,100.0,0
60.0,313.0,2,78,27,4,1,76,9.0,4,3,33,4,36,0.0,5,5,42.0,30.0,6.0,2.0,1.0,73.0,0
60.0,94.0,15,60,2,6,4,11,6.0,4,2,9,0,22,,0,0,19.0,62.0,1.0,1.0,,67.0,0
68.0,183.0,15,65,14,0,0,75,8.0,4,6,16,0,56,0.0,0,0,75.0,,4.0,1.0,1.0,71.0,0
67.0,155.0,5,87,23,2,0,85,24.0,6,5,27,2,37,5.0,0,0,27.0,53.0,7.0,5.0,1.0,93.0,0
75.0,207.0,4,46,17,0,0,100,,7,8,17,4,24,0.0,4,3,62.0,66.0,6.0,2.0,0.0,67.0,0
73.0,259.0,6,120,26,0,0,93,42.0,6,6,27,3,22,5.0,0,0,49.0,79.0,4.0,2.0,2.0,67.0,1
71.0,245.0,25,122,11,0,0,91,7.0,4,6,11,0,45,,0,0,,,,1.0,,100.0,1
59.0,116.0,10,70,3,1,1,75,11.0,0,2,4,1,100,0.0,1,1,,77.0,,2.0,,100.0,0
70.0,136.0,20,68,17,0,0,82,18.0,6,6,17,0,18,0.0,0,0,54.0,31.0,6.0,2.0,2.0,80.0,0
70.0,298.0,5,71,24,0,0,96,81.0,6,6,47,6,13,0.0,2,2,29.0,,3.0,1.0,1.0,36.0,1
77.0,285.0,7,74,14,0,0,100,,7,8,21,3,0,12.0,0,0,23.0,,9.0,,2.0,69.0,0
79.0,163.0,1,70,12,0,0,100,,7,8,14,3,43,0.0,2,2,32.0,78.0,3.0,3.0,0.0,75.0,0
79.0,150.0,5,43,25,0,0,100,,7,8,25,5,60,0.0,0,0,18.0,90.0,2.0,5.0,0.0,47.0,1
68.0,279.0,7,86,9,0,0,89,15.0,5,6,9,2,78,6.0,0,0,90.0,99.0,2.0,4.0,2.0,100.0,1
67.0,114.0,5,52,13,1,0,67,30.0,6,5,15,2,13,5.0,0,0,69.0,33.0,4.0,2.0,2.0,86.0,1
65.0,305.0,4,74,18,6,6,60,12.0,6,2,25,2,48,0.0,1,1,8.0,98.0,1.0,2.0,0.0,60.0,0
69.0,200.0,2,73,20,2,1,92,4.0,3,5,24,2,38,0.0,5,5,2.0,,6.0,1.0,0.0,64.0,1
68.0,32.0,10,17,4,0,0,100,,7,8,4,1,50,3.0,4,4,13.0,92.0,1.0,2.0,,75.0,1
73.0,124.0,5,41,8,0,0,100,,7,8,8,2,50,,0,0,84.0,76.0,2.0,3.0,2.0,83.0,0
69.0,105.0,3,30,17,0,0,100,,7,8,17,7,12,4.0,1,1,32.0,100.0,6.0,1.0,2.0,64.0,0
70.0,139.0,5,67,19,1,0,83,19.0,6,5,23,2,57,5.0,0,0,39.0,66.0,2.0,3.0,0.0,100.0,1
69.0,147.0,2,50,26,1,0,93,10.0,4,5,28,3,36,0.0,0,0,6.0,86.0,3.0,2.0,1.0,36.0,0
60.0,199.0,9,40,14,3,2,94,65.0,0,5,16,3,44,8.0,0,0,103.0,,4.0,2.0,3.0,100.0,0
65.0,265.0,11,64,16,0,0,88,37.0,6,6,17,1,24,0.0,1,1,76.0,,8.0,1.0,2.0,100.0,0
70.0,140.0,7,33,5,1,1,100,,6,8,3,3,0,1.0,1,1,4.0,,3.0,,0.0,60.0,1
73.0,69.0,24,42,7,0,0,100,,7,8,7,0,14,,1,0,54.0,37.0,5.0,1.0,1.0,86.0,0
81.0,276.0,1,57,35,0,0,97,77.0,6,6,37,6,30,0.0,2,2,12.0,67.0,5.0,3.0,0.0,38.0,0
68.0,166.0,4,47,17,0,0,100,,7,8,18,2,11,0.0,0,0,78.0,,8.0,1.0,4.0,75.0,0
45.0,56.0,10,35,4,3,3,75,2.0,0,6,4,1,25,,4,4,68.0,69.0,1.0,1.0,0.0,50.0,0
75.0,248.0,5,53,24,0,0,100,,7,8,24,2,25,3.0,1,1,11.0,35.0,4.0,3.0,0.0,50.0,1
68.0,137.0,4,85,24,0,0,88,10.0,4,6,24,2,38,3.0,1,1,15.0,68.0,7.0,3.0,0.0,85.0,1
68.0,,4,91,22,0,0,95,4.0,4,6,0,1,45,3.0,1,1,40.0,58.0,4.0,3.0,2.0,78.0,0
74.0,306.0,33,121,35,1,1,97,61.0,6,3,37,0,19,8.0,0,0,32.0,49.0,11.0,3.0,3.0,75.0,1
59.0,114.0,11,47,20,0,0,86,3.0,4,6,22,1,55,0.0,1,0,69.0,91.0,4.0,5.0,1.0,90.0,0
91.0,166.0,35,121,10,0,0,100,,7,8,10,0,40,,0,0,10.0,38.0,1.0,3.0,0.0,67.0,1
85.0,293.0,36,120,22,0,0,100,,7,8,22,0,41,,0,0,21.0,45.0,3.0,3.0,0.0,75.0,1
74.0,189.0,3,67,41,0,0,100,,7,8,59,5,31,,3,3,31.0,61.0,6.0,5.0,1.0,72.0,1
87.0,378.0,17,116,17,0,0,100,,7,8,17,0,6,0.0,1,1,14.0,,6.0,,0.0,60.0,1
60.0,282.0,23,108,5,4,1,50,13.0,5,4,10,0,40,0.0,1,1,115.0,62.0,4.0,3.0,2.0,88.0,0
72.0,281.0,4,129,27,1,0,93,71.0,6,5,28,2,14,0.0,1,1,36.0,92.0,10.0,1.0,0.0,92.0,1
91.0,180.0,24,112,6,0,0,100,,7,8,7,0,50,,0,0,2.0,,1.0,1.0,0.0,67.0,1
88.0,302.0,22,93,14,0,0,100,,7,8,16,0,7,4.0,1,1,2.0,,4.0,,0.0,67.0,1
79.0,86.0,9,36,13,0,0,100,,7,8,13,1,8,,0,0,19.0,,6.0,1.0,0.0,70.0,0
59.0,545.0,14,130,30,0,0,80,6.0,4,6,30,0,37,0.0,0,0,80.0,77.0,9.0,5.0,3.0,88.0,0
82.0,439.0,4,101,32,0,0,100,,7,8,33,2,13,3.0,1,1,3.0,51.0,5.0,2.0,0.0,33.0,1
72.0,48.0,10,26,4,0,0,100,,7,8,4,1,25,,1,1,54.0,,3.0,1.0,0.0,100.0,0
82.0,161.0,7,77,58,0,0,98,,6,6,58,2,12,1.0,1,1,6.0,64.0,4.0,3.0,0.0,33.0,1
58.0,142.0,10,56,31,0,0,94,3.0,4,6,32,1,50,1.0,2,2,76.0,49.0,3.0,2.0,2.0,63.0,1
82.0,511.0,20,168,20,0,0,100,,7,8,20,0,25,,0,0,16.0,,3.0,1.0,1.0,40.0,0
77.0,148.0,27,96,13,0,0,100,,7,8,14,0,50,0.0,2,2,75.0,,1.0,1.0,0.0,100.0,1
89.0,384.0,4,111,31,0,0,100,,7,8,33,2,30,3.0,3,3,12.0,,1.0,1.0,0.0,33.0,1
78.0,174.0,2,98,18,0,0,95,,6,6,20,2,55,0.0,1,1,23.0,57.0,1.0,4.0,0.0,75.0,0
65.0,125.0,9,75,14,4,1,79,16.0,6,3,19,1,53,0.0,0,0,85.0,,1.0,1.0,1.0,75.0,0
73.0,29.0,16,23,2,0,0,100,,7,8,2,0,50,0.0,2,2,,,,,,,1
82.0,172.0,3,80,38,0,0,100,,7,8,41,2,20,4.0,1,1,5.0,74.0,6.0,2.0,1.0,64.0,1
62.0,323.0,1,104,14,7,7,100,,0,8,24,2,18,0.0,1,1,4.0,100.0,3.0,1.0,0.0,36.0,1
80.0,237.0,3,124,11,0,0,91,68.0,6,6,11,2,18,4.0,1,1,20.0,,3.0,2.0,0.0,63.0,1
71.0,183.0,15,73,11,1,0,85,50.0,6,2,13,0,46,0.0,1,1,49.0,50.0,2.0,2.0,0.0,67.0,0
80.0,162.0,4,61,39,0,0,98,74.0,6,6,45,4,12,8.0,0,0,11.0,,7.0,1.0,0.0,53.0,1
64.0,62.0,5,42,10,0,0,100,,7,8,10,1,0,0.0,2,2,84.0,,8.0,,4.0,80.0,0
90.0,234.0,6,128,32,0,0,100,,7,8,32,2,38,,0,0,1.0,78.0,2.0,2.0,0.0,57.0,1
83.0,265.0,6,83,16,0,0,100,,7,8,16,2,19,5.0,0,0,13.0,,1.0,1.0,0.0,22.0,1
82.0,176.0,6,71,31,0,0,100,,7,8,31,2,23,0.0,0,0,4.0,,5.0,1.0,0.0,44.0,1
57.0,131.0,28,81,6,3,3,64,7.0,0,2,11,0,55,0.0,0,0,,,,,,,1
70.0,163.0,4,78,32,0,0,94,27.0,6,6,35,1,40,0.0,2,2,47.0,47.0,10.0,2.0,0.0,92.0,1
68.0,136.0,3,62,35,2,1,92,58.0,6,5,37,5,54,0.0,2,2,68.0,89.0,8.0,2.0,2.0,67.0,0
72.0,177.0,3,62,33,0,0,94,12.0,6,6,33,1,12,,1,1,10.0,,5.0,1.0,0.0,46.0,1
85.0,158.0,16,70,8,0,0,100,,7,8,8,0,25,6.0,0,0,20.0,80.0,3.0,2.0,0.0,83.0,1
86.0,176.0,13,67,21,0,0,100,,7,8,22,0,41,0.0,1,1,12.0,79.0,3.0,2.0,0.0,100.0,0
68.0,196.0,2,48,54,1,1,96,2.0,0,2,57,5,60,0.0,2,2,5.0,75.0,2.0,3.0,0.0,25.0,0
76.0,287.0,9,121,35,0,0,100,,7,8,36,1,19,0.0,0,0,34.0,72.0,4.0,3.0,2.0,50.0,1
81.0,146.0,16,63,3,0,0,100,,7,8,3,0,67,0.0,1,0,,86.0,,2.0,,100.0,0
64.0,201.0,2,42,20,1,1,90,6.0,4,6,39,1,14,1.0,4,4,19.0,,7.0,2.0,2.0,56.0,0
81.0,167.0,8,77,19,0,0,95,21.0,6,6,20,1,30,0.0,1,1,11.0,,1.0,1.0,0.0,40.0,1
88.0,193.0,17,119,12,0,0,100,,7,8,14,0,33,,2,2,17.0,,2.0,1.0,0.0,75.0,1
67.0,206.0,1,83,12,3,2,93,46.0,6,5,14,3,29,2.0,1,1,60.0,,5.0,1.0,2.0,67.0,0
62.0,128.0,4,57,16,4,2,71,5.0,4,2,21,2,33,0.0,0,0,48.0,39.0,8.0,2.0,1.0,100.0,1
61.0,163.0,1,46,22,0,0,96,33.0,6,6,23,4,35,0.0,4,4,87.0,76.0,7.0,3.0,4.0,67.0,0
77.0,220.0,2,63,38,0,0,100,,7,8,40,1,53,0.0,1,1,25.0,67.0,5.0,1.0,1.0,50.0,0
57.0,140.0,13,67,8,4,4,80,26.0,6,4,10,0,50,3.0,1,1,93.0,71.0,1.0,2.0,1.0,100.0,0
85.0,387.0,79,223,9,0,0,100,,7,8,11,0,0,0.0,0,0,34.0,,3.0,,0.0,60.0,1
58.0,258.0,1,81,16,0,0,89,9.0,4,6,18,3,33,,3,3,81.0,95.0,8.0,3.0,4.0,92.0,0
72.0,325.0,4,97,15,1,0,82,11.0,3,5,17,1,47,0.0,0,0,21.0,64.0,5.0,3.0,2.0,67.0,0
79.0,246.0,1,108,21,0,0,100,,7,8,22,2,18,1.0,2,2,18.0,,7.0,1.0,2.0,62.0,0
65.0,206.0,14,76,25,5,5,88,6.0,4,6,26,0,69,0.0,1,1,76.0,82.0,2.0,3.0,1.0,100.0,1
73.0,135.0,14,72,27,1,0,87,17.0,6,5,30,0,47,0.0,1,1,0.0,24.0,1.0,5.0,0.0,60.0,1
65.0,145.0,1,47,21,0,0,96,8.0,4,6,23,4,52,3.0,3,3,60.0,68.0,7.0,3.0,1.0,91.0,0
66.0,145.0,22,74,10,0,0,82,15.0,6,6,11,0,27,0.0,1,1,74.0,,3.0,1.0,2.0,80.0,0
91.0,228.0,18,127,16,0,0,100,,7,8,18,0,33,17.0,0,0,1.0,,2.0,,0.0,33.0,1
88.0,199.0,9,83,17,0,0,100,,7,8,17,1,24,,0,0,0.0,70.0,0.0,2.0,0.0,50.0,0
82.0,228.0,17,92,24,0,0,100,,7,8,29,0,34,1.0,2,2,2.0,42.0,9.0,4.0,0.0,68.0,1
77.0,166.0,2,86,19,0,0,100,,7,8,20,3,20,2.0,2,2,44.0,,5.0,2.0,0.0,70.0,0
84.0,246.0,1,69,20,0,0,100,,7,8,21,1,33,0.0,2,2,8.0,13.0,4.0,2.0,0.0,60.0,0
70.0,281.0,9,55,14,0,0,93,8.0,4,6,15,2,57,14.0,0,0,58.0,45.0,2.0,3.0,1.0,71.0,1
81.0,501.0,17,142,19,0,0,100,,7,8,55,0,0,4.0,1,1,53.0,,3.0,,1.0,60.0,1
68.0,28.0,9,21,3,0,0,100,,7,8,3,1,100,0.0,0,0,,,,2.0,,100.0,0
63.0,203.0,4,83,32,1,1,97,,6,6,35,1,60,,2,2,68.0,8.0,8.0,2.0,1.0,92.0,1
72.0,428.0,18,102,26,0,0,96,14.0,6,6,26,0,19,17.0,0,0,22.0,53.0,2.0,3.0,2.0,33.0,1
75.0,125.0,2,66,38,0,0,100,,7,8,24,5,15,8.0,0,0,17.0,15.0,11.0,1.0,0.0,67.0,1
64.0,115.0,0,45,32,2,1,98,16.0,6,5,40,6,38,5.0,0,0,12.0,89.0,7.0,8.0,0.0,71.0,1
66.0,258.0,7,94,17,2,2,95,19.0,6,2,19,3,16,0.0,1,1,32.0,,5.0,1.0,0.0,55.0,1
59.0,302.0,10,137,24,2,1,88,2.0,4,5,39,1,32,1.0,2,2,50.0,75.0,3.0,4.0,0.0,70.0,0
81.0,369.0,28,95,27,0,0,100,,7,8,13,0,19,,0,0,21.0,18.0,2.0,2.0,1.0,40.0,1
